DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-03-30T14:27:26.800+00:00,33.803,-116.088,3.9,1.6,Ml,,58,0.1,0.23,ci,ci11275610,1364653831166
2013-03-30T14:25:14.600+00:00,38.800,-122.773,1.3,1.4,Md,,65,0.0,0.06,nc,nc71963270,1364653616538
2013-03-30T14:15:36.900+00:00,38.803,-122.811,2.9,0.5,Md,,79,0.0,0.04,nc,nc71963265,1364654588340
2013-03-30T14:12:30.300+00:00,33.812,-116.086,2.1,1.0,Ml,,104,0.1,0.31,ci,ci11275602,1364652934348
2013-03-30T14:00:44.080+00:00,38.027,-118.055,11.9,1.6,ml,28,119,0.2,0.10,nn,nn00407903,1364652282768
2013-03-30T13:48:08.500+00:00,37.614,-118.987,7.7,1.1,Md,,173,0.0,0.05,nc,nc71963240,1364652128665
2013-03-30T13:46:19.900+00:00,19.400,-155.281,3.1,2.1,Ml,,58,0.0,0.07,hv,hv60484471,1364651525364
